Symbol,Score
RACLGEAR,70
EASEMYTRIP,60
KELLTONTEC,60
HILINFRA,55
COCHINSHIP,55
INDNIPPON,55
GODIGIT,55
TEXRAIL,55
BHARATSE,55
GALAXYSURF,55
KANSAINER,50
GOODLUCK,50
KALPATARU,50
VMSTMT,50
ONWARDTEC,50
SILGO,50
STEL,50
KSHINTL,50
ELECTHERM,50
SGFIN,50
JINDWORLD,50
GVPIL,50
OAL,50
RAMKY,50
AXISCADES,50
ASIANTILES,50
PPL,50
WENDT,50
AEQUS,50
JINDALPHOT,50
AWFIS,50
SPIC,50
SHAREINDIA,50
ARKADE,50
APLLTD,50
GODAVARIB,50
WALCHANNAG,50
SINDHUTRAD,47
MALLCOM,47
KSOLVES,45
AKUMS,45
ENGINERSIN,45
AGARIND,45
GRINFRA,42
MANORAMA,40
NEOGEN,40
HAVELLS,40
GEOJITFSL,40
CONFIPET,40
JSWCEMENT,40
RAJOOENG,40
EMUDHRA,40
VENUSPIPES,40
SPANDANA,40
MSPL,40
SKIPPER,40
RAINBOW,40
TAJGVK,40
STLTECH,40
BALAJITELE,40
ROTO,40
HARIOMPIPE,40
MCLEODRUSS,40
VERANDA,40
BIKAJI,40
DIGITIDE,40
SAKSOFT,40
AURUM,40
UCOBANK,40
CCL,40
EXCELINDUS,40
NIITLTD,40
SALZERELEC,40
EMIL,40
HDFCSENSEX,40
ZOTA,40
SAMBHV,40
LUXIND,40
TVTODAY,40
RUPA,40
JSL,40
PNBGILTS,40
RADHIKAJWE,40
DREAMFOLKS,40
NUCLEUS,40
OFSS,40
EVEREADY,40
ASAL,40
MPSLTD,40
RAMAPHO,40
SHARDAMOTR,40
ARVSMART,40
DATAMATICS,40
DYCL,40
JISLJALEQS,40
USHAMART,40
QUICKHEAL,40
EFCIL,40
RPSGVENT,40
INDUSINDBK,40
TATVA,40
JAICORPLTD,40
IPL,40
INDSWFTLAB,40
KIMS,40
INDRAMEDCO,40
CONCOR,40
SHYAMMETL,40
HERITGFOOD,40
RAMCOIND,40
SHRINGARMS,40
STERTOOLS,40
SANGAMIND,40
CUBEXTUB,40
PANACEABIO,40
GREENPLY,40
VARROC,40
ARIHANTCAP,40
WIPRO,40
EPACKPEB,40
FINEORG,40
VSTIND,40
VINDHYATEL,40
SOLARA,40
