symbol,bias,bull_percent,bear_percent
"NSE:KPRMILL,",BULLISH BIAS,98,2
"NSE:ARMANFIN,",BULLISH BIAS,97,3
"NSE:HDFCNIFBAN,",BEARISH BIAS,97,3
"NSE:BANKBETA,",BEARISH BIAS,97,3
"NSE:BANKNIFTY1,",BEARISH BIAS,96,4
"NSE:GLENMARK,",BEARISH BIAS,96,4
"NSE:JISLJALEQS,",BULLISH BIAS,96,4
"NSE:MOM30IETF,",BEARISH BIAS,96,4
"NSE:BANKIETF,",BEARISH BIAS,96,4
"NSE:GRINDWELL,",BEARISH BIAS,96,4
"NSE:SPAL,",BULLISH BIAS,96,4
"NSE:SANOFICONR,",BULLISH BIAS,96,4
"NSE:SUNDROP,",BULLISH BIAS,95,5
"NSE:COFFEEDAY,",BULLISH BIAS,95,5
"NSE:LUMAXTECH,",BEARISH BIAS,95,5
"NSE:DWARKESH,",BULLISH BIAS,94,6
"NSE:SENCO,",BEARISH BIAS,94,6
"NSE:LUMAXIND,",BEARISH BIAS,93,7
"NSE:VTL,",BULLISH BIAS,93,7
"NSE:SHRIRAMPPS,",BULLISH BIAS,93,7
"NSE:SETFNIFBK,",BEARISH BIAS,93,7
"NSE:AXISCADES,",BULLISH BIAS,93,7
"NSE:INOXINDIA,",BULLISH BIAS,93,7
"NSE:TRAVELFOOD,",BEARISH BIAS,93,7
"NSE:EMMVEE,",BULLISH BIAS,93,7
"NSE:ARVIND,",BULLISH BIAS,92,8
"NSE:BAJFINANCE,",BULLISH BIAS,92,8
"NSE:COSMOFIRST,",BULLISH BIAS,91,9
"NSE:ENGINERSIN,",BULLISH BIAS,91,9
"NSE:VIJAYA,",BEARISH BIAS,91,9
"NSE:AJANTPHARM,",BULLISH BIAS,91,9
"NSE:FAZE3Q,",BULLISH BIAS,91,9
"NSE:HAPPYFORGE,",BULLISH BIAS,91,9
"NSE:GODREJAGRO,",BULLISH BIAS,90,10
"NSE:LINDEINDIA,",BULLISH BIAS,90,10
"NSE:MFSL,",BULLISH BIAS,90,10
"NSE:ZEEL,",BULLISH BIAS,90,10
"NSE:ZEEMEDIA,",BULLISH BIAS,90,10
"NSE:SEPC,",BEARISH BIAS,90,10
"NSE:CRISIL,",BEARISH BIAS,89,11
"NSE:HINDOILEXP,",BEARISH BIAS,89,11
"NSE:INGERRAND,",BULLISH BIAS,89,11
"NSE:KCP,",BEARISH BIAS,89,11
"NSE:BSOFT,",BEARISH BIAS,89,11
"NSE:GENESYS,",BEARISH BIAS,89,11
"NSE:GOKEX,",BULLISH BIAS,89,11
"NSE:ICRA,",BEARISH BIAS,89,11
"NSE:KIRLOSIND,",BEARISH BIAS,89,11
"NSE:KIOCL,",BEARISH BIAS,89,11
"NSE:DOMS,",BEARISH BIAS,89,11
"NSE:RUPA,",BEARISH BIAS,89,11
"NSE:CEWATER,",BEARISH BIAS,89,11
"NSE:BASF,",BEARISH BIAS,88,12
"NSE:SHALBY,",BEARISH BIAS,88,12
"NSE:UFLEX,",BEARISH BIAS,88,12
"NSE:GIPCL,",BEARISH BIAS,88,12
"NSE:INDIANHUME,",BEARISH BIAS,88,12
"NSE:REMSONSIND,",BEARISH BIAS,88,12
"NSE:GVPIL,",BULLISH BIAS,88,12
