Stock,Direction,Bull %,Bear %
"NSE:PTCIL,",BULLISH BIAS,80,20
"NSE:GODREJIND,",BULLISH BIAS,80,20
"NSE:KPRMILL,",BULLISH BIAS,80,20
"NSE:CENTURYPLY,",BULLISH BIAS,80,20
"NSE:BAJFINANCE,",BULLISH BIAS,80,20
"NSE:AEGISLOG,",BULLISH BIAS,80,20
"NSE:AEGISVOPAK,",BULLISH BIAS,80,20
"NSE:KEI,",BULLISH BIAS,80,20
"NSE:NTPC,",BULLISH BIAS,80,20
"NSE:CREDITACC,",BULLISH BIAS,80,20
"NSE:ZENTEC,",BULLISH BIAS,80,20
"NSE:PVRINOX,",BULLISH BIAS,80,20
"NSE:NLCINDIA,",BULLISH BIAS,80,20
"NSE:LINDEINDIA,",BULLISH BIAS,80,20
"NSE:DOMS,",BULLISH BIAS,70,30
"NSE:ASTRAL,",BULLISH BIAS,70,30
"NSE:AAVAS,",BULLISH BIAS,70,30
"NSE:IDFCFIRSTB,",BULLISH BIAS,70,30
"NSE:APLAPOLLO,",BULLISH BIAS,70,30
"NSE:NESTLEIND,",BULLISH BIAS,65,35
"NSE:ALKEM,",BULLISH BIAS,65,35
"NSE:AGARWALEYE,",BULLISH BIAS,65,35
"NSE:RADICO,",BULLISH BIAS,65,35
"NSE:SCHAEFFLER,",BULLISH BIAS,65,35
"NSE:TRIDENT,",BULLISH BIAS,65,35
"NSE:ENRIN,",BULLISH BIAS,65,35
"NSE:JINDALSTEL,",BULLISH BIAS,55,45
"NSE:AUROPHARMA,",BULLISH BIAS,55,45
"NSE:HUDCO,",BULLISH BIAS,55,45
"NSE:HFCL,",BULLISH BIAS,55,45
"NSE:APARINDS,",BEARISH BIAS,20,80
"NSE:LTF,",BEARISH BIAS,20,80
"NSE:ICICIPRULI,",BEARISH BIAS,20,80
"NSE:EMAMILTD,",BEARISH BIAS,20,80
"NSE:HDFCBANK,",BEARISH BIAS,20,80
"NSE:PNBHOUSING,",BEARISH BIAS,20,80
"NSE:CHOICEIN,",BEARISH BIAS,20,80
"NSE:ICICIGI,",BEARISH BIAS,20,80
"NSE:ATUL,",BEARISH BIAS,20,80
"NSE:BBTC,",BEARISH BIAS,20,80
"NSE:JBCHEPHARM,",BEARISH BIAS,20,80
"NSE:BLUEJET,",BEARISH BIAS,20,80
"NSE:ADANIPORTS,",BEARISH BIAS,20,80
"NSE:CHOLAFIN,",BEARISH BIAS,30,70
"NSE:BERGEPAINT,",BEARISH BIAS,30,70
"NSE:MANYAVAR,",BEARISH BIAS,30,70
"NSE:BASF,",BEARISH BIAS,30,70
"NSE:APTUS,",BEARISH BIAS,30,70
"NSE:INDGN,",BEARISH BIAS,30,70
"NSE:PATANJALI,",BEARISH BIAS,30,70
"NSE:RELIANCE,",BEARISH BIAS,30,70
"NSE:FINPIPE,",BEARISH BIAS,35,65
"NSE:SUNTV,",BEARISH BIAS,35,65
"NSE:AFFLE,",BEARISH BIAS,35,65
"NSE:NUVOCO,",BEARISH BIAS,35,65
"NSE:TATACONSUM,",BEARISH BIAS,35,65
"NSE:VMM,",BEARISH BIAS,35,65
"NSE:GRANULES,",BEARISH BIAS,35,65
"NSE:JSWSTEEL,",BEARISH BIAS,35,65
"NSE:BATAINDIA,",BEARISH BIAS,35,65
"NSE:ASIANPAINT,",BEARISH BIAS,35,65
"NSE:RAINBOW,",BEARISH BIAS,35,65
"NSE:ERIS,",BEARISH BIAS,35,65
"NSE:ADANIENSOL,",BEARISH BIAS,35,65
"NSE:JKCEMENT,",BEARISH BIAS,35,65
"NSE:ITCHOTELS,",BEARISH BIAS,35,65
"NSE:MSUMI,",BEARISH BIAS,40,60
"NSE:VIJAYA,",BEARISH BIAS,40,60
"NSE:SUNPHARMA,",BEARISH BIAS,45,55
"NSE:JSWENERGY,",BEARISH BIAS,45,55
"NSE:INDUSINDBK,",BEARISH BIAS,45,55
"NSE:IPCALAB,",BEARISH BIAS,45,55
"NSE:THELEELA,",BEARISH BIAS,45,55
"NSE:ADANIENT,",NEUTRAL,50,50
"NSE:AKUMS,",NEUTRAL,50,50
